AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1591.00, GY: -301.00, GZ: -50.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1562.00, GY: -293.00, GZ: -67.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1592.00, GY: -296.00, GZ: 7.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1597.00, GY: -288.00, GZ: -19.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1565.00, GY: -285.00, GZ: -54.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1614.00, GY: -283.00, GZ: -19.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1591.00, GY: -315.00, GZ: -13.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1618.00, GY: -280.00, GZ: -54.00
AX: -0.03, AY: 0.00, AZ: -0.99, GX: -1585.00, GY: -294.00, GZ: -22.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1580.00, GY: -246.00, GZ: 18.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1623.00, GY: -279.00, GZ: -9.00
AX: -0.04, AY: -0.00, AZ: -0.99, GX: -1582.00, GY: -284.00, GZ: -14.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1553.00, GY: -279.00, GZ: -48.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1580.00, GY: -278.00, GZ: 18.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1602.00, GY: -268.00, GZ: 26.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1591.00, GY: -264.00, GZ: -41.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1589.00, GY: -283.00, GZ: -20.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1615.00, GY: -254.00, GZ: 16.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1609.00, GY: -271.00, GZ: -15.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1612.00, GY: -274.00, GZ: -8.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1564.00, GY: -285.00, GZ: 4.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1582.00, GY: -301.00, GZ: 21.00
AX: -0.03, AY: 0.01, AZ: -1.00, GX: -1593.00, GY: -302.00, GZ: -48.00
AX: -0.03, AY: 0.00, AZ: -1.00, GX: -1599.00, GY: -288.00, GZ: -60.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1595.00, GY: -283.00, GZ: 2.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1576.00, GY: -267.00, GZ: 12.00
AX: -0.03, AY: 0.00, AZ: -1.00, GX: -1580.00, GY: -292.00, GZ: -19.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1620.00, GY: -290.00, GZ: -21.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1581.00, GY: -312.00, GZ: 7.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1604.00, GY: -275.00, GZ: -4.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1560.00, GY: -284.00, GZ: -49.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1590.00, GY: -285.00, GZ: -1.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1583.00, GY: -328.00, GZ: -12.00
AX: -0.04, AY: -0.00, AZ: -1.00, GX: -1623.00, GY: -320.00, GZ: -1.00
AX: -0.03, AY: 0.00, AZ: -1.00, GX: -1621.00, GY: -272.00, GZ: -28.00
AX: -0.05, AY: 0.01, AZ: -1.00, GX: -1618.00, GY: -309.00, GZ: -23.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1587.00, GY: -290.00, GZ: 0.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1621.00, GY: -297.00, GZ: -6.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1573.00, GY: -265.00, GZ: -20.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1575.00, GY: -246.00, GZ: -4.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1625.00, GY: -308.00, GZ: 8.00
AX: -0.04, AY: -0.00, AZ: -0.99, GX: -1609.00, GY: -260.00, GZ: -24.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1565.00, GY: -288.00, GZ: -56.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1586.00, GY: -282.00, GZ: -20.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1618.00, GY: -288.00, GZ: -32.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1604.00, GY: -282.00, GZ: -27.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1567.00, GY: -267.00, GZ: -1.00
AX: -0.04, AY: -0.00, AZ: -0.99, GX: -1602.00, GY: -259.00, GZ: -25.00
AX: -0.04, AY: 0.00, AZ: -1.01, GX: -1591.00, GY: -278.00, GZ: -21.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1581.00, GY: -305.00, GZ: -13.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1566.00, GY: -303.00, GZ: -1.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1585.00, GY: -270.00, GZ: -3.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1558.00, GY: -303.00, GZ: 1.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1594.00, GY: -277.00, GZ: -43.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1563.00, GY: -310.00, GZ: -18.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1571.00, GY: -306.00, GZ: -22.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1586.00, GY: -282.00, GZ: 10.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1544.00, GY: -263.00, GZ: -2.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1578.00, GY: -277.00, GZ: -19.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1579.00, GY: -265.00, GZ: 4.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1606.00, GY: -295.00, GZ: -43.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1570.00, GY: -279.00, GZ: -13.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1570.00, GY: -293.00, GZ: -22.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1579.00, GY: -265.00, GZ: -42.00
AX: -0.04, AY: -0.00, AZ: -1.00, GX: -1571.00, GY: -296.00, GZ: -35.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1647.00, GY: -293.00, GZ: -30.00
AX: -0.05, AY: 0.01, AZ: -1.00, GX: -1611.00, GY: -252.00, GZ: -38.00
AX: -0.05, AY: 0.01, AZ: -1.00, GX: -1637.00, GY: -298.00, GZ: -19.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1551.00, GY: -275.00, GZ: -23.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1564.00, GY: -325.00, GZ: -25.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1606.00, GY: -272.00, GZ: 7.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1594.00, GY: -307.00, GZ: -2.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1541.00, GY: -265.00, GZ: -36.00
AX: -0.04, AY: 0.00, AZ: -0.98, GX: -1562.00, GY: -283.00, GZ: -20.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1595.00, GY: -275.00, GZ: -40.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1577.00, GY: -279.00, GZ: -33.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1576.00, GY: -252.00, GZ: -16.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1636.00, GY: -274.00, GZ: -5.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1610.00, GY: -306.00, GZ: 2.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1555.00, GY: -273.00, GZ: -41.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1578.00, GY: -280.00, GZ: -53.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1605.00, GY: -258.00, GZ: 20.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1579.00, GY: -260.00, GZ: 12.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1584.00, GY: -274.00, GZ: -15.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1578.00, GY: -284.00, GZ: -9.00
AX: -0.03, AY: 0.00, AZ: -0.99, GX: -1586.00, GY: -298.00, GZ: -15.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1568.00, GY: -306.00, GZ: -6.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1581.00, GY: -284.00, GZ: -65.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1592.00, GY: -299.00, GZ: -28.00
AX: -0.05, AY: -0.00, AZ: -0.99, GX: -1611.00, GY: -278.00, GZ: 5.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1614.00, GY: -256.00, GZ: -34.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1600.00, GY: -314.00, GZ: -47.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1595.00, GY: -311.00, GZ: -13.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1602.00, GY: -265.00, GZ: 12.00
AX: -0.04, AY: -0.00, AZ: -1.00, GX: -1614.00, GY: -278.00, GZ: -60.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1581.00, GY: -293.00, GZ: -17.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1598.00, GY: -274.00, GZ: -23.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1603.00, GY: -293.00, GZ: 12.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1595.00, GY: -287.00, GZ: -19.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1591.00, GY: -272.00, GZ: -5.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1608.00, GY: -294.00, GZ: 2.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1566.00, GY: -297.00, GZ: -35.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1603.00, GY: -288.00, GZ: -51.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1583.00, GY: -302.00, GZ: 22.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1595.00, GY: -285.00, GZ: -8.00
